Name,Automaker,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage(kmpl),Engine (CC),Power (bhp),Seats,Price
Honda WR-V,Honda,Ahmedabad,2018,33344,Petrol,Manual,1,0,1199.0,90.0,5.0,751000
Renault TRIBER,Renault,Ahmedabad,2021,42589,Petrol,Manual,1,0,999.0,72.0,7.0,576000
Maruti IGNIS,Maruti,Ahmedabad,2018,94910,Petrol,Manual,1,0,1197.0,83.0,5.0,436000
Hyundai Grand i10,Hyundai,Ahmedabad,2015,24738,Petrol,Manual,1,0,1197.0,83.0,5.0,441000
Hyundai Grand i10,Hyundai,Ahmedabad,2016,18428,Petrol,Automatic,1,0,1197.0,83.0,5.0,592000
Tata ALTROZ,Tata,Ahmedabad,2021,29327,Diesel,Manual,1,0,1497.0,90.0,5.0,875000
Tata ALTROZ,Tata,Ahmedabad,2022,23443,Petrol,Manual,1,0,1199.0,86.0,5.0,697000
KIA SONET,KIA,Ahmedabad,2023,21308,Petrol,Automatic,1,0,998.0,120.0,5.0,1309400
Hyundai Grand i10,Hyundai,Ahmedabad,2017,24632,Petrol,Manual,1,0,1197.0,83.0,5.0,541000
Maruti Baleno,Maruti,Ahmedabad,2021,23479,Petrol,Manual,1,0,1197.0,83.0,5.0,678000
Maruti Wagon R 1.0,Maruti,Ahmedabad,2016,80432,CNG,Manual,1,0,998.0,68.0,5.0,395000
Maruti Baleno,Maruti,Ahmedabad,2022,8368,Petrol,Automatic,2,0,1197.0,90.0,5.0,905000
Maruti Baleno,Maruti,Ahmedabad,2023,10731,Petrol,Manual,1,0,1197.0,90.0,5.0,894000
KIA CARENS,KIA,Ahmedabad,2022,33408,Petrol,Manual,1,0,1353.0,140.0,7.0,1253000
Volkswagen Polo,Volkswagen,Ahmedabad,2015,92159,Petrol,Automatic,1,0,1197.0,105.0,5.0,483200
Honda Amaze,Honda,Ahmedabad,2018,70213,CNG,Manual,1,0,1199.0,90.0,5.0,598000
Maruti Dzire,Maruti,Ahmedabad,2020,61231,Petrol,Manual,2,0,1197.0,90.0,5.0,573000
Maruti Baleno,Maruti,Ahmedabad,2016,71982,Petrol,Manual,1,0,1197.0,84.0,5.0,503000
Maruti Dzire,Maruti,Ahmedabad,2017,72753,Diesel,Manual,1,0,1248.0,75.0,5.0,616000
Datsun Redi Go,Datsun,Ahmedabad,2019,55380,Petrol,Manual,1,0,799.0,54.0,5.0,263000
Maruti Baleno,Maruti,Ahmedabad,2017,97030,Petrol,Manual,1,0,1197.0,84.0,5.0,476500
Tata Tiago,Tata,Ahmedabad,2021,29340,Petrol,Automatic,1,0,1199.0,86.0,5.0,656000
Renault TRIBER,Renault,Ahmedabad,2019,72909,Petrol,Manual,1,0,999.0,72.0,7.0,597000
Mahindra Thar,Mahindra,Ahmedabad,2021,46448,Petrol,Automatic,1,0,1997.0,152.0,4.0,1381000
Maruti Alto,Maruti,Ahmedabad,2022,21422,CNG,Manual,1,0,796.0,41.0,4.0,496000
Honda City,Honda,Ahmedabad,2015,94999,Petrol,Manual,1,0,1497.0,119.0,5.0,574000
