Name,Automaker,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage(kmpl),Engine (CC),Power (bhp),Seats,Price
Hyundai Creta,Hyundai,Bangalore,2017,98493,Petrol,Automatic,1,0,1591,123,5.0,973000
Nissan Micra,Nissan,Bangalore,2017,35474,Petrol,Automatic,2,0,1198,77,5.0,528000
Hyundai Eon,Hyundai,Bangalore,2017,33963,Petrol,Manual,2,0,814,56,5.0,381000
Maruti Swift,Maruti,Bangalore,2012,64557,Petrol,Manual,1,0,1197,87,5.0,463000
Hyundai Creta,Hyundai,Bangalore,2019,43987,Diesel,Manual,1,0,1582,128,5.0,1152000
Renault Kwid,Renault,Bangalore,2023,3996,Petrol,Automatic,1,0,999,68,5.0,631000
Maruti IGNIS,Maruti,Bangalore,2017,47285,Petrol,Manual,1,0,1197,83,5.0,466000
Maruti IGNIS,Maruti,Bangalore,2017,22456,Petrol,Automatic,2,0,1197,83,5.0,612000
Hyundai NEW SANTRO,Hyundai,Bangalore,2019,33609,Petrol,Manual,2,0,1086,69,5.0,439000
Honda Jazz,Honda,Bangalore,2015,99867,Petrol,Manual,1,0,1199,90,5.0,424000
Maruti Alto K10,Maruti,Bangalore,2016,65484,Petrol,Manual,3,0,998,68,5.0,318000
Maruti Vitara Brezza,Maruti,Bangalore,2016,60503,Diesel,Manual,1,0,1248,90,5.0,795000
Maruti Celerio,Maruti,Bangalore,2016,29309,Petrol,Manual,2,0,998,68,5.0,427000
Maruti Alto K10,Maruti,Bangalore,2014,49599,Petrol,Manual,1,0,998,68,5.0,300000
Hyundai NEW I20,Hyundai,Bangalore,2021,26797,Petrol,Manual,2,0,998,120,5.0,1021000
Maruti Celerio,Maruti,Bangalore,2015,46241,Petrol,Manual,2,0,998,68,5.0,377000
Renault Kwid,Renault,Bangalore,2021,14078,Petrol,Automatic,1,0,999,68,5.0,515000
Toyota Innova Crysta,Toyota,Bangalore,2022,3597,Diesel,Manual,2,0,2393,150,7.0,2702000
Maruti Ertiga,Maruti,Bangalore,2016,81649,Diesel,Manual,2,0,1248,90,7.0,776000
Maruti Grand Vitara,Maruti,Bangalore,2022,14358,Petrol,Manual,1,0,1462,103,5.0,1649000
Tata PUNCH,Tata,Bangalore,2023,7511,Petrol,Automatic,1,0,1199,86,5.0,964000
KIA CARENS,KIA,Bangalore,2022,41209,Petrol,Manual,1,0,1353,140,7.0,1096000
Maruti Swift,Maruti,Bangalore,2013,96413,Diesel,Manual,1,0,1248,75,5.0,444000
Hyundai Creta,Hyundai,Bangalore,2019,43448,Petrol,Automatic,2,0,1591,123,5.0,1128000
Hyundai Creta,Hyundai,Bangalore,2016,97183,Petrol,Automatic,1,0,1591,123,5.0,891000
Toyota Glanza,Toyota,Bangalore,2023,7757,Petrol,Automatic,1,0,1197,90,5.0,1072000
Renault Duster,Renault,Bangalore,2018,29137,Diesel,Manual,1,0,1461,85,5.0,906000
Hyundai i20,Hyundai,Bangalore,2012,99928,Petrol,Manual,2,0,1197,84,5.0,405600
Tata NEXON,Tata,Bangalore,2020,38575,Petrol,Automatic,1,0,1199,120,5.0,1038000
Maruti Baleno,Maruti,Bangalore,2022,43431,Petrol,Automatic,1,0,1197,90,5.0,754000
