Name,Automaker,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage(kmpl),Engine (CC),Power (bhp),Seats,Price
Tata Tiago,Tata,Chennai,2022,24389,Petrol,Manual,1,0,1199,86,5.0,605000
Tata Tiago,Tata,Chennai,2017,87685,Petrol,Manual,1,0,1199,85,5.0,449000
Volkswagen Polo,Volkswagen,Chennai,2021,22687,Petrol,Manual,2,0,999,76,5.0,645000
Honda Amaze,Honda,Chennai,2015,49289,Petrol,Manual,1,0,1198,88,5.0,444000
Ford Ecosport,Ford,Chennai,2017,39138,Petrol,Manual,1,0,1499,112,5.0,693000
Maruti Swift,Maruti,Chennai,2022,44513,Petrol,Manual,1,0,1197,90,5.0,832000
Tata NEXON,Tata,Chennai,2022,20047,Petrol,Manual,1,0,1199,120,5.0,1044000
Hyundai Grand i10,Hyundai,Chennai,2016,56532,Petrol,Manual,2,0,1197,83,5.0,435000
Mahindra XUV300,Mahindra,Chennai,2021,27597,Diesel,Manual,1,0,1497,117,5.0,1107000
Mahindra Thar,Mahindra,Chennai,2022,9448,Petrol,Automatic,1,0,1997,152,4.0,1492000
Ford Ecosport,Ford,Chennai,2015,96727,CNG,Automatic,2,0,1499,112,5.0,471000
Honda Amaze,Honda,Chennai,2015,89541,Petrol,Manual,1,0,1198,88,5.0,438000
KIA SELTOS,KIA,Chennai,2022,18698,Petrol,Manual,2,0,1497,115,5.0,1273000
KIA SONET,KIA,Chennai,2023,9922,Petrol,Manual,1,0,998,120,5.0,1006000
Hyundai Creta,Hyundai,Chennai,2015,96275,Diesel,Manual,1,0,1582,128,5.0,801000
Renault Kwid,Renault,Chennai,2021,28502,Petrol,Manual,2,0,999,68,5.0,452000
Honda Amaze,Honda,Chennai,2019,69080,Petrol,Automatic,1,0,1199,90,5.0,669450
Tata PUNCH,Tata,Chennai,2023,12265,Petrol,Automatic,1,0,1199,88,5.0,812000
KIA SONET,KIA,Chennai,2021,48944,Petrol,Manual,1,0,998,120,5.0,1018000
Hyundai Elite i20,Hyundai,Chennai,2019,33897,Petrol,Automatic,1,0,1197,83,5.0,722000
Maruti Celerio,Maruti,Chennai,2022,31366,CNG,Manual,1,0,998,57,5.0,665000
Maruti Alto,Maruti,Chennai,2019,35479,Petrol,Manual,2,0,796,48,5.0,350000
Renault TRIBER,Renault,Chennai,2022,24739,Petrol,Manual,1,0,999,72,7.0,760000
Tata Tiago,Tata,Chennai,2020,50714,Petrol,Manual,1,0,1199,86,5.0,520000
Hyundai VENUE,Hyundai,Chennai,2019,37557,Petrol,Automatic,1,0,998,120,5.0,994000
Honda Amaze,Honda,Chennai,2020,33873,Petrol,Manual,2,0,1199,90,5.0,629000
Renault Kwid,Renault,Chennai,2017,74272,Petrol,Manual,1,0,999,68,5.0,357000
Hyundai GRAND I10 NIOS,Hyundai,Chennai,2019,47090,Petrol,Automatic,1,0,1197,83,5.0,638000
Hyundai i10,Hyundai,Chennai,2016,66052,Petrol,Manual,1,0,1086,69,5.0,396000
Maruti BREZZA,Maruti,Chennai,2023,8264,Petrol,Manual,1,0,1462,103,5.0,1224000
Maruti Wagon R 1.0,Maruti,Chennai,2012,95377,Petrol,Manual,2,0,998,68,5.0,296000
Tata NEXON,Tata,Chennai,2023,10029,Petrol,Automatic,1,0,1199,120,5.0,1116000
