Name,Automaker,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage(kmpl),Engine (CC),Power (bhp),Seats,Price
Maruti Alto,Maruti,Coimbatore,2019,52546,Petrol,Manual,1,0,796,48,5.0,394000
Tata NEXON,Tata,Coimbatore,2023,21181,Diesel,Manual,1,0,1497,115,5.0,1151000
Maruti Alto,Maruti,Coimbatore,2019,45019,Petrol,Manual,2,0,796,48,5.0,388000
Renault Kwid,Renault,Coimbatore,2021,17362,Petrol,Manual,1,0,999,68,5.0,509000
Hyundai Grand i10,Hyundai,Coimbatore,2019,49381,Petrol,Manual,2,0,1197,83,5.0,501000
Honda Jazz,Honda,Coimbatore,2021,52028,Petrol,Automatic,1,0,1199,90,5.0,918000
Hyundai NEW SANTRO,Hyundai,Coimbatore,2022,21237,Petrol,Automatic,2,0,1086,69,5.0,590000
Hyundai Elite i20,Hyundai,Coimbatore,2018,72793,Petrol,Manual,2,0,1197,83,5.0,560000
Jeep Compass,Jeep,Coimbatore,2018,74364,Diesel,Manual,1,0,1956,173,5.0,1110000
Hyundai Creta,Hyundai,Coimbatore,2015,121485,Diesel,Manual,3,0,1582,128,5.0,693000
Tata PUNCH,Tata,Coimbatore,2021,46350,Petrol,Automatic,2,0,1199,86,5.0,719000
Maruti Ciaz,Maruti,Coimbatore,2016,116026,Petrol,Manual,2,0,1373,92,5.0,527000
Hyundai VENUE,Hyundai,Coimbatore,2022,17337,Petrol,Manual,1,0,998,120,5.0,884000
KIA SONET,KIA,Coimbatore,2022,22287,Petrol,Manual,1,0,998,120,5.0,1010000
Tata ALTROZ,Tata,Coimbatore,2022,34715,Petrol,Manual,1,0,1199,86,5.0,736000
Honda WR-V,Honda,Coimbatore,2019,64337,Petrol,Manual,1,0,1199,90,5.0,704000
Honda WR-V,Honda,Coimbatore,2022,15476,Petrol,Manual,1,0,1199,90,5.0,898000
Hyundai Xcent,Hyundai,Coimbatore,2016,109938,Petrol,Manual,1,0,1197,83,5.0,459000
Ford FREESTYLE,Ford,Coimbatore,2018,95559,Petrol,Manual,1,0,1194,96,5.0,521000
Hyundai Creta,Hyundai,Coimbatore,2016,109618,Petrol,Automatic,3,0,1591,123,5.0,791000
Renault Kwid,Renault,Coimbatore,2023,12901,Petrol,Manual,1,0,999,68,5.0,508000
Tata ALTROZ,Tata,Coimbatore,2021,11459,Petrol,Manual,1,0,1199,86,5.0,732000
KIA SONET,KIA,Coimbatore,2020,35061,Petrol,Manual,2,0,998,120,5.0,1012300
Maruti Celerio,Maruti,Coimbatore,2018,98263,Petrol,Automatic,1,0,998,68,5.0,424000
Ford FREESTYLE,Ford,Coimbatore,2018,122491,Diesel,Manual,3,0,1498,100,5.0,496300
Ford Ecosport,Ford,Coimbatore,2019,38662,Petrol,Manual,2,0,1497,123,5.0,793000
Hyundai Grand i10,Hyundai,Coimbatore,2017,48753,Petrol,Manual,1,0,1197,83,5.0,513000
Renault Kwid,Renault,Coimbatore,2020,24397,Petrol,Automatic,2,0,999,68,5.0,454450
Hyundai NEW SANTRO,Hyundai,Coimbatore,2021,39862,Petrol,Automatic,1,0,1086,69,5.0,521000
Honda Jazz,Honda,Coimbatore,2018,49272,Petrol,Manual,2,0,1199,90,5.0,588000
Renault Kwid,Renault,Coimbatore,2020,23970,Petrol,Automatic,1,0,999,68,5.0,500000
Tata Tiago,Tata,Coimbatore,2020,33410,Petrol,Automatic,1,0,1199,86,5.0,682000
Datsun Go Plus,Datsun,Coimbatore,2018,41782,Petrol,Manual,2,0,1198,68,7.0,442000
Hyundai VENUE,Hyundai,Coimbatore,2022,20832,Petrol,Manual,1,0,1197,83,5.0,895000
Hyundai VENUE,Hyundai,Coimbatore,2019,65652,Petrol,Automatic,1,0,998,120,5.0,959000
Hyundai Verna,Hyundai,Coimbatore,2018,85607,Petrol,Manual,2,0,1591,123,5.0,756000
Maruti Swift Dzire,Maruti,Coimbatore,2017,60600,Petrol,Manual,3,0,1197,84,5.0,497000
Maruti Celerio,Maruti,Coimbatore,2022,37521,Petrol,Automatic,1,0,998,67,5.0,660000
Renault TRIBER,Renault,Coimbatore,2021,39613,Petrol,Manual,1,0,999,72,7.0,609000
Maruti Wagon R 1.0,Maruti,Coimbatore,2016,31283,Petrol,Manual,2,0,998,68,5.0,416000
