Name,Automaker,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage(kmpl),Engine (CC),Power (bhp),Seats,Price
Hyundai Elite i20,Hyundai,Delhi,2015,66663,Petrol,Manual,1,0,1197.0,83.0,5.0,443000
Maruti Alto 800,Maruti,Delhi,2016,97698,Petrol,Manual,2,0,796.0,48.0,5.0,241000
Maruti Swift,Maruti,Delhi,2015,102460,Petrol,Manual,1,0,1197.0,84.0,5.0,333000
Hyundai Verna,Hyundai,Delhi,2019,55921,Petrol,Manual,2,0,1591.0,123.0,5.0,795000
Hyundai Verna,Hyundai,Delhi,2019,34032,Petrol,Manual,1,0,1591.0,123.0,5.0,835000
Maruti Baleno,Maruti,Delhi,2019,35190,Petrol,Manual,1,0,1197.0,84.0,5.0,557000
Maruti Celerio,Maruti,Delhi,2019,63194,Petrol,Manual,1,0,998.0,68.0,5.0,406000
Mahindra XUV300,Mahindra,Delhi,2020,64038,Diesel,Automatic,1,0,1497.0,117.0,5.0,898000
Nissan MAGNITE,Nissan,Delhi,2022,20338,Petrol,Manual,1,0,999.0,72.0,5.0,571000
Hyundai Creta,Hyundai,Delhi,2017,29759,Petrol,Automatic,1,0,1591.0,123.0,5.0,919000
Tata NEXON,Tata,Delhi,2017,82375,Petrol,Manual,1,0,1198.0,110.0,5.0,602000
Hyundai Creta,Hyundai,Delhi,2022,40368,Petrol,Automatic,1,0,1353.0,140.0,5.0,1654000
Toyota Glanza,Toyota,Delhi,2019,14642,Petrol,Manual,1,0,1197.0,83.0,5.0,644000
Ford Ecosport,Ford,Delhi,2019,68051,Diesel,Manual,1,0,1498.0,101.0,5.0,732000
Tata ALTROZ,Tata,Delhi,2021,49461,Petrol,Manual,1,0,1199.0,86.0,5.0,629000
Maruti Vitara Brezza,Maruti,Delhi,2021,29125,Petrol,Automatic,2,0,1462.0,105.0,5.0,873000
Hyundai VENUE,Hyundai,Delhi,2020,43417,Petrol,Manual,2,0,998.0,120.0,5.0,871000
Maruti Alto,Maruti,Delhi,2022,13185,Petrol,Manual,1,0,796.0,48.0,5.0,384000
Hyundai GRAND I10 NIOS,Hyundai,Delhi,2020,20631,Petrol,Manual,2,0,1197.0,83.0,5.0,541000
Maruti Baleno,Maruti,Delhi,2019,21221,Petrol,Manual,1,0,1197.0,84.0,5.0,649200
Maruti Swift,Maruti,Delhi,2017,87820,Petrol,Manual,1,0,1197.0,84.0,5.0,459000
Tata NEXON,Tata,Delhi,2022,26202,Petrol,Manual,1,0,1199.0,120.0,5.0,1090000
Ford Ecosport,Ford,Delhi,2016,29475,Petrol,Manual,1,0,999.0,125.0,5.0,610000
Hyundai i20,Hyundai,Delhi,2011,78624,Petrol,Manual,1,0,1197.0,80.0,5.0,183000
Maruti Swift,Maruti,Delhi,2018,21574,Petrol,Manual,1,0,1197.0,84.0,5.0,663000
Maruti Swift,Maruti,Delhi,2017,23582,Petrol,Manual,1,0,1197.0,84.0,5.0,442000
Maruti Swift,Maruti,Delhi,2017,47657,Petrol,Manual,1,0,1197.0,84.0,5.0,436000
Honda City,Honda,Delhi,2017,102835,Petrol,Manual,1,0,1497.0,119.0,5.0,633000
Volkswagen VIRTUS,Volkswagen,Delhi,2022,27653,Petrol,Manual,1,0,999.0,115.0,5.0,918000
Maruti Alto 800,Maruti,Delhi,2018,39074,Petrol,Manual,1,0,796.0,48.0,5.0,269000
Maruti Celerio,Maruti,Delhi,2017,61337,CNG,Manual,2,0,998.0,59.0,5.0,435000
Maruti Alto K10,Maruti,Delhi,2015,45475,Petrol,Manual,3,0,998.0,68.0,5.0,232000
Volkswagen Ameo,Volkswagen,Delhi,2018,40904,Petrol,Manual,1,0,999.0,76.0,5.0,476000
Mahindra XUV300,Mahindra,Delhi,2023,20393,Petrol,Manual,1,0,1197.0,110.0,5.0,965800
Honda City,Honda,Delhi,2021,34459,Petrol,Automatic,1,0,1497.0,119.0,5.0,1042000
Hyundai i20 Active,Hyundai,Delhi,2016,54035,Petrol,Manual,1,0,1197.0,83.0,5.0,503000
Hyundai Grand i10,Hyundai,Delhi,2015,28880,Petrol,Manual,1,0,1197.0,83.0,5.0,398000
Honda City,Honda,Delhi,2015,89726,Petrol,Manual,1,0,1497.0,119.0,5.0,545000
Maruti Swift,Maruti,Delhi,2021,11486,Petrol,Automatic,1,0,1197.0,90.0,5.0,635000
Hyundai Grand i10,Hyundai,Delhi,2018,41163,Petrol,Manual,3,0,1197.0,83.0,5.0,386000
Maruti Dzire,Maruti,Delhi,2018,38776,Petrol,Manual,1,0,1197.0,83.0,5.0,515600
Hyundai Elite i20,Hyundai,Delhi,2017,27659,Petrol,Manual,3,0,1197.0,83.0,5.0,487000
Nissan MAGNITE,Nissan,Delhi,2022,36341,Petrol,Manual,1,0,999.0,72.0,5.0,570000
Volkswagen Ameo,Volkswagen,Delhi,2017,67835,Petrol,Manual,2,0,1198.0,75.0,5.0,376000
Hyundai Creta,Hyundai,Delhi,2022,19352,Petrol,Manual,1,0,1497.0,115.0,5.0,1151000
Hyundai Eon,Hyundai,Delhi,2015,86973,Petrol,Manual,1,0,814.0,56.0,5.0,213000
Hyundai Elite i20,Hyundai,Delhi,2018,48575,Petrol,Manual,3,0,1197.0,83.0,5.0,541000
Maruti Baleno,Maruti,Delhi,2022,15650,Petrol,Manual,1,0,1197.0,90.0,5.0,780000
