Name,Automaker,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage(kmpl),Engine (CC),Power (bhp),Seats,Price
Hyundai i10,Hyundai,Hyderabad,2016,45505,Petrol,Manual,1,0,1086.0,69.0,5.0,415000
Maruti Ertiga,Maruti,Hyderabad,2014,74199,Petrol,Manual,1,0,1373.0,95.0,7.0,653000
Hyundai Creta,Hyundai,Hyderabad,2017,47231,Petrol,Manual,2,0,1591.0,123.0,5.0,984600
Maruti Ciaz,Maruti,Hyderabad,2018,88132,Petrol,Automatic,1,0,1373.0,92.0,5.0,790000
Renault Kwid,Renault,Hyderabad,2020,29766,Petrol,Automatic,1,0,999.0,68.0,5.0,438000
Hyundai Elite i20,Hyundai,Hyderabad,2015,84828,Petrol,Manual,2,0,1197.0,83.0,5.0,478000
Hyundai i10,Hyundai,Hyderabad,2016,48333,Petrol,Manual,2,0,1086.0,69.0,5.0,423000
Maruti Alto,Maruti,Hyderabad,2019,31475,Petrol,Manual,1,0,796.0,48.0,5.0,330000
Maruti S PRESSO,Maruti,Hyderabad,2021,46355,Petrol,Manual,1,0,998.0,68.0,5.0,459000
Maruti Ciaz,Maruti,Hyderabad,2019,55281,Petrol,Automatic,1,0,1462.0,105.0,5.0,785000
Maruti Baleno,Maruti,Hyderabad,2020,47699,Petrol,Automatic,1,0,1197.0,83.0,5.0,781000
Maruti Alto,Maruti,Hyderabad,2020,62586,Petrol,Manual,2,0,796.0,48.0,5.0,361600
Maruti Dzire,Maruti,Hyderabad,2017,95453,Diesel,Automatic,1,0,1248.0,75.0,5.0,640000
KIA SELTOS,KIA,Hyderabad,2020,71170,Diesel,Manual,2,0,1493.0,115.0,5.0,1324000
Nissan MAGNITE,Nissan,Hyderabad,2021,33387,Petrol,Manual,1,0,999.0,100.0,5.0,693000
Maruti New Wagon-R,Maruti,Hyderabad,2022,44382,Petrol,Manual,2,0,998.0,67.0,5.0,578000
Maruti Baleno,Maruti,Hyderabad,2019,25443,Petrol,Manual,1,0,1197.0,83.0,5.0,672200
Hyundai Elite i20,Hyundai,Hyderabad,2018,47030,Petrol,Automatic,1,0,1197.0,83.0,5.0,705000
Maruti Swift Dzire,Maruti,Hyderabad,2014,98609,Diesel,Manual,1,0,1248.0,75.0,5.0,542000
Maruti Dzire,Maruti,Hyderabad,2021,49950,Petrol,Automatic,1,0,1197.0,90.0,5.0,795000
Tata NEXON,Tata,Hyderabad,2021,16677,Petrol,Automatic,1,0,1199.0,120.0,5.0,1110000
