Name,Automaker,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage(kmpl),Engine (CC),Power (bhp),Seats,Price
Volkswagen Ameo,Volkswagen,Jaipur,2017,95176,Petrol,Manual,2,0,1198,75,5.0,437000
Maruti Vitara Brezza,Maruti,Jaipur,2021,34127,Petrol,Manual,2,0,1462,105,5.0,691000
Maruti Swift Dzire,Maruti,Jaipur,2015,86420,Diesel,Manual,1,0,1248,75,5.0,458000
Maruti Alto K10,Maruti,Jaipur,2018,92224,Petrol,Manual,1,0,998,68,5.0,287000
Hyundai Creta,Hyundai,Jaipur,2018,75608,Diesel,Manual,2,0,1582,128,5.0,1024000
Hyundai Verna,Hyundai,Jaipur,2013,74168,Diesel,Manual,2,0,1582,128,5.0,423000
Renault Kwid,Renault,Jaipur,2020,40905,Petrol,Manual,1,0,999,68,5.0,370150
Maruti Alto,Maruti,Jaipur,2011,91389,Petrol,Manual,1,0,796,47,5.0,157500
Renault TRIBER,Renault,Jaipur,2023,6791,Petrol,Manual,1,0,999,72,7.0,631000
Tata Tiago,Tata,Jaipur,2022,20500,CNG,Manual,1,0,1199,73,5.0,694000
Maruti Swift,Maruti,Jaipur,2011,77887,Petrol,Manual,1,0,1197,87,5.0,289000
Hyundai i10,Hyundai,Jaipur,2011,74496,Petrol,Manual,1,0,1197,80,5.0,198000
Renault Kwid,Renault,Jaipur,2021,31561,Petrol,Manual,1,0,999,68,5.0,397000
Honda City,Honda,Jaipur,2018,92658,Petrol,Manual,1,0,1497,119,5.0,699000
Renault Kwid,Renault,Jaipur,2020,47089,Petrol,Automatic,2,0,999,68,5.0,419000
Hyundai VENUE,Hyundai,Jaipur,2019,16004,Petrol,Automatic,1,0,998,120,5.0,947000
Hyundai i10,Hyundai,Jaipur,2014,53668,Petrol,Manual,2,0,1086,69,5.0,247000
Maruti Baleno,Maruti,Jaipur,2017,35478,Petrol,Automatic,1,0,1197,84,5.0,543000
Maruti New Wagon-R,Maruti,Jaipur,2022,40259,CNG,Manual,1,0,998,57,5.0,604000
Honda Amaze,Honda,Jaipur,2023,8181,Petrol,Manual,2,0,1199,90,5.0,732000
Hyundai Creta,Hyundai,Jaipur,2016,124930,Diesel,Manual,1,0,1396,90,5.0,713000
Tata ALTROZ,Tata,Jaipur,2021,57765,Diesel,Manual,1,0,1497,90,5.0,814000
Maruti Baleno,Maruti,Jaipur,2022,21107,Petrol,Manual,1,0,1197,90,5.0,776000
Renault Duster,Renault,Jaipur,2017,97571,Diesel,Manual,1,0,1461,85,5.0,490000
Maruti Wagon R 1.0,Maruti,Jaipur,2011,62381,Petrol,Manual,1,0,998,68,5.0,232000
