Name,Automaker,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage(kmpl),Engine (CC),Power (bhp),Seats,Price
Maruti Alto 800,Maruti,Kolkata,2018,83465,Petrol,Manual,1,0,796,48,5.0,279000
Maruti New Wagon-R,Maruti,Kolkata,2019,47722,Petrol,Manual,1,0,1197,83,5.0,441800
Maruti Vitara Brezza,Maruti,Kolkata,2021,33743,Petrol,Manual,1,0,1462,105,5.0,734400
Hyundai GRAND I10 NIOS,Hyundai,Kolkata,2021,22615,Petrol,Automatic,1,0,1197,83,5.0,713500
Tata Tiago,Tata,Kolkata,2021,11624,Petrol,Manual,1,0,1199,86,5.0,527000
Hyundai VENUE,Hyundai,Kolkata,2020,15050,Petrol,Manual,1,0,1197,83,5.0,716000
Jeep Compass,Jeep,Kolkata,2019,50150,Petrol,Manual,1,0,1368,163,5.0,873000
Maruti Celerio,Maruti,Kolkata,2022,1042,Petrol,Manual,1,0,998,67,5.0,560000
Maruti Dzire,Maruti,Kolkata,2019,51837,Petrol,Manual,1,0,1197,83,5.0,486000
Volkswagen Ameo,Volkswagen,Kolkata,2019,59396,Petrol,Manual,1,0,999,76,5.0,375000
Hyundai Verna,Hyundai,Kolkata,2018,95648,Petrol,Manual,1,0,1368,100,5.0,558000
Honda City,Honda,Kolkata,2014,54674,Diesel,Manual,1,0,1498,100,5.0,380600
Hyundai Xcent,Hyundai,Kolkata,2014,97215,Petrol,Manual,2,0,1197,83,5.0,290000
Honda Jazz,Honda,Kolkata,2015,33228,Petrol,Manual,1,0,1199,90,5.0,374000
Maruti Swift,Maruti,Kolkata,2011,52563,Petrol,Manual,1,0,1197,85,5.0,219000
Datsun Go,Datsun,Kolkata,2018,43070,Petrol,Manual,1,0,1198,68,5.0,252000
Honda City,Honda,Kolkata,2017,57219,Diesel,Manual,2,0,1498,100,5.0,564000
Toyota Corolla Altis,Toyota,Kolkata,2017,23618,Petrol,Manual,2,0,1798,140,5.0,700000
Skoda Rapid,Skoda,Kolkata,2019,27463,Petrol,Manual,2,0,1598,105,5.0,655000
Maruti Alto 800,Maruti,Kolkata,2018,31309,Petrol,Manual,1,0,796,48,5.0,282000
Mahindra KUV 100 NXT,Mahindra,Kolkata,2019,4800,Petrol,Manual,2,0,1198,82,6.0,530000
Honda WR-V,Honda,Kolkata,2019,20314,Petrol,Manual,2,0,1199,90,5.0,571000
Volkswagen Vento,Volkswagen,Kolkata,2017,44621,Petrol,Automatic,1,0,1197,105,5.0,627000
Tata Tiago,Tata,Kolkata,2022,16803,CNG,Manual,1,0,1199,73,5.0,612000
Hyundai Elite i20,Hyundai,Kolkata,2018,19331,Petrol,Manual,1,0,1197,83,5.0,555000
Toyota YARIS,Toyota,Kolkata,2018,24301,Petrol,Manual,2,0,1496,107,5.0,589000
Hyundai VENUE,Hyundai,Kolkata,2019,31927,Petrol,Automatic,1,0,998,120,5.0,811000
Hyundai GRAND I10 NIOS,Hyundai,Kolkata,2021,15700,Petrol,Automatic,1,0,1197,83,5.0,616000
Tata ALTROZ,Tata,Kolkata,2020,12191,Petrol,Manual,1,0,1199,86,5.0,663000
Honda City,Honda,Kolkata,2019,20804,Petrol,Manual,1,0,1497,119,5.0,808000
Renault Kwid,Renault,Kolkata,2019,19801,Petrol,Manual,1,0,999,68,5.0,371000
Tata Tiago,Tata,Kolkata,2022,3965,CNG,Manual,2,0,1199,73,5.0,534000
Honda City,Honda,Kolkata,2020,53592,Petrol,Automatic,1,0,1498,121,5.0,940000
Datsun Redi Go,Datsun,Kolkata,2019,10162,Petrol,Manual,1,0,999,68,5.0,303000
Renault Kwid,Renault,Kolkata,2021,23214,Petrol,Automatic,1,0,999,68,5.0,433000
Maruti Alto,Maruti,Kolkata,2020,18697,Petrol,Manual,2,0,796,48,5.0,313000
Maruti S PRESSO,Maruti,Kolkata,2019,17064,Petrol,Manual,1,0,998,68,5.0,394000
Maruti Baleno,Maruti,Kolkata,2018,49177,Petrol,Manual,1,0,1197,84,5.0,542000
Renault Kwid,Renault,Kolkata,2020,13648,Petrol,Manual,2,0,799,54,5.0,358000
Maruti New Wagon-R,Maruti,Kolkata,2022,8807,Petrol,Manual,1,0,998,67,5.0,570300
Datsun Redi Go,Datsun,Kolkata,2020,31958,Petrol,Manual,1,0,799,54,5.0,297150
Renault Duster,Renault,Kolkata,2018,72404,Diesel,Manual,1,0,1461,110,5.0,663000
Tata TIGOR,Tata,Kolkata,2022,27009,Petrol,Manual,1,0,1199,86,5.0,625000
Hyundai NEW SANTRO,Hyundai,Kolkata,2018,34963,Petrol,Manual,1,0,1086,69,5.0,377000
Mahindra XUV300,Mahindra,Kolkata,2020,50172,Petrol,Manual,1,0,1197,110,5.0,761000
Maruti Alto,Maruti,Kolkata,2021,6820,Petrol,Manual,1,0,796,48,5.0,340000
