Name,Automaker,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage(kmpl),Engine (CC),Power (bhp),Seats,Price
Maruti Dzire,Maruti,Mumbai,2018,51852,Petrol,Automatic,1,0,1197,83,5.0,562000
Hyundai Xcent,Hyundai,Mumbai,2014,55106,Petrol,Manual,1,0,1197,83,5.0,388000
Hyundai Elite i20,Hyundai,Mumbai,2016,27261,Petrol,Manual,1,0,1197,83,5.0,543000
Volkswagen Ameo,Volkswagen,Mumbai,2019,34651,Petrol,Manual,2,0,999,76,5.0,572000
Maruti Swift Dzire,Maruti,Mumbai,2014,11144,Diesel,Manual,1,0,1248,75,5.0,613000
Hyundai Elite i20,Hyundai,Mumbai,2018,56236,Petrol,Manual,1,0,1197,83,5.0,603000
Maruti Wagon R 1.0,Maruti,Mumbai,2012,42425,Petrol,Manual,2,0,998,68,5.0,231000
Honda WR-V,Honda,Mumbai,2018,59897,Petrol,Manual,1,0,1199,90,5.0,711000
Hyundai Creta,Hyundai,Mumbai,2016,83626,Petrol,Automatic,1,0,1591,123,5.0,854000
Hyundai Grand i10,Hyundai,Mumbai,2015,62163,Petrol,Automatic,1,0,1197,83,5.0,416000
Hyundai Grand i10,Hyundai,Mumbai,2018,32749,CNG,Manual,1,0,1197,83,5.0,516000
Maruti Celerio,Maruti,Mumbai,2016,76727,Petrol,Automatic,1,0,998,68,5.0,396800
Maruti Baleno,Maruti,Mumbai,2017,40995,Petrol,Manual,1,0,1197,84,5.0,567400
Maruti Baleno,Maruti,Mumbai,2016,59679,Petrol,Manual,1,0,1197,84,5.0,489000
Honda City,Honda,Mumbai,2019,54705,Petrol,Automatic,1,0,1497,119,5.0,958000
Hyundai Grand i10,Hyundai,Mumbai,2016,59893,Petrol,Manual,2,0,1197,83,5.0,372000
Maruti Baleno,Maruti,Mumbai,2016,43273,Petrol,Manual,1,0,1197,84,5.0,505000
Maruti Celerio,Maruti,Mumbai,2017,85712,CNG,Manual,1,0,998,59,5.0,403000
Maruti Wagon R 1.0,Maruti,Mumbai,2017,56359,CNG,Manual,2,0,998,59,5.0,391000
Toyota YARIS,Toyota,Mumbai,2018,30509,Petrol,Manual,2,0,1496,107,5.0,783000
Volkswagen Polo,Volkswagen,Mumbai,2015,70096,Petrol,Automatic,2,0,1197,105,5.0,530000
Honda BR-V,Honda,Mumbai,2017,75870,Petrol,Automatic,2,0,1497,119,7.0,663000
Ford Ecosport,Ford,Mumbai,2015,45779,Petrol,Manual,3,0,1499,112,5.0,427000
Hyundai Elite i20,Hyundai,Mumbai,2017,44558,Petrol,Manual,1,0,1197,83,5.0,564000
Tata Tiago,Tata,Mumbai,2017,37602,Petrol,Manual,2,0,1199,85,5.0,412000
Nissan MAGNITE,Nissan,Mumbai,2022,15037,Petrol,Automatic,1,0,999,100,5.0,800000
Toyota URBAN CRUISER,Toyota,Mumbai,2021,18001,Petrol,Manual,1,0,1462,105,5.0,947000
KIA SELTOS,KIA,Mumbai,2021,33374,Petrol,Automatic,2,0,1353,140,5.0,1475000
MG HECTOR,MG,Mumbai,2022,29274,Diesel,Manual,1,0,1956,170,5.0,1772000
Maruti Ciaz,Maruti,Mumbai,2021,30926,Petrol,Manual,1,0,1462,105,5.0,798000
Hyundai VENUE,Hyundai,Mumbai,2021,9340,Petrol,Manual,1,0,998,120,5.0,965000
Hyundai VENUE,Hyundai,Mumbai,2021,48355,Petrol,Automatic,1,0,998,120,5.0,955000
Maruti Vitara Brezza,Maruti,Mumbai,2016,99679,Diesel,Manual,1,0,1248,90,5.0,688500
Maruti Wagon R 1.0,Maruti,Mumbai,2013,21606,Petrol,Manual,1,0,998,68,5.0,296000
Tata Tiago,Tata,Mumbai,2019,32045,Petrol,Automatic,1,0,1199,85,5.0,514000
Maruti Baleno,Maruti,Mumbai,2020,33723,Petrol,Manual,1,0,1197,83,5.0,583000
Maruti Ertiga,Maruti,Mumbai,2015,48033,Petrol,Manual,1,0,1373,95,7.0,670000
Hyundai Elite i20,Hyundai,Mumbai,2016,38566,Petrol,Manual,1,0,1197,83,5.0,488000
Maruti Wagon R 1.0,Maruti,Mumbai,2014,99498,CNG,Manual,2,0,998,59,5.0,301000
Hyundai GRAND I10 NIOS,Hyundai,Mumbai,2019,30977,Petrol,Manual,1,0,1197,83,5.0,574000
Skoda Rapid,Skoda,Mumbai,2013,47977,Petrol,Manual,2,0,1598,105,5.0,380000
Maruti Swift,Maruti,Mumbai,2014,29876,Petrol,Manual,1,0,1197,87,5.0,396000
Tata ALTROZ,Tata,Mumbai,2021,13348,Petrol,Manual,1,0,1199,86,5.0,754000
Tata NEXON,Tata,Mumbai,2021,13342,Petrol,Manual,1,0,1199,120,5.0,862000
Honda City,Honda,Mumbai,2019,17087,Petrol,Manual,1,0,1497,119,5.0,895000
Maruti Swift,Maruti,Mumbai,2014,53120,Petrol,Manual,1,0,1197,87,5.0,371300
Maruti Wagon R 1.0,Maruti,Mumbai,2013,80601,CNG,Manual,1,0,998,59,5.0,292000
Hyundai VENUE,Hyundai,Mumbai,2019,45750,Petrol,Manual,2,0,998,120,5.0,778000
Hyundai Grand i10,Hyundai,Mumbai,2014,39636,Petrol,Manual,1,0,1197,83,5.0,361000
Maruti Ciaz,Maruti,Mumbai,2016,90742,Petrol,Automatic,1,0,1373,92,5.0,567000
Hyundai VENUE,Hyundai,Mumbai,2021,49880,Petrol,Manual,1,0,998,120,5.0,835000
Volkswagen Polo,Volkswagen,Mumbai,2016,72744,Diesel,Manual,3,0,1498,90,5.0,525000
Hyundai VENUE,Hyundai,Mumbai,2019,34899,Petrol,Manual,1,0,998,120,5.0,870000
Ford Ecosport,Ford,Mumbai,2017,79659,Diesel,Manual,1,0,1498,101,5.0,652000
Renault Duster,Renault,Mumbai,2019,26958,Petrol,Automatic,1,0,1498,106,5.0,772000
Honda City,Honda,Mumbai,2014,45962,Petrol,Automatic,2,0,1497,119,5.0,512000
Maruti Wagon R 1.0,Maruti,Mumbai,2013,44412,Petrol,Manual,1,0,998,68,5.0,277000
Honda Amaze,Honda,Mumbai,2020,30688,Petrol,Manual,1,0,1199,90,5.0,629000
Honda City,Honda,Mumbai,2015,79079,Petrol,Manual,2,0,1497,119,5.0,433000
Hyundai NEW SANTRO,Hyundai,Mumbai,2018,59736,CNG,Manual,1,0,1086,69,5.0,436000
Hyundai Elite i20,Hyundai,Mumbai,2014,60702,Petrol,Manual,1,0,1197,83,5.0,419000
Maruti New Wagon-R,Maruti,Mumbai,2020,20785,Petrol,Manual,1,0,1197,83,5.0,516000
Maruti Celerio,Maruti,Mumbai,2019,35436,CNG,Manual,1,0,998,59,5.0,549000
Hyundai Elite i20,Hyundai,Mumbai,2017,98272,Petrol,Manual,1,0,1197,83,5.0,513000
Maruti Wagon R 1.0,Maruti,Mumbai,2017,22280,Petrol,Manual,1,0,998,68,5.0,384000
Hyundai Elite i20,Hyundai,Mumbai,2016,46613,Petrol,Manual,1,0,1197,83,5.0,504000
