Name,Automaker,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage(kmpl),Engine (CC),Power (bhp),Seats,Price
Hyundai i10,Hyundai,Pune,2014,46502,Petrol,Manual,2,0,1086,69,5.0,295000
Hyundai Verna,Hyundai,Pune,2015,87421,Petrol,Manual,1,0,1591,123,5.0,563000
Hyundai Xcent,Hyundai,Pune,2014,89598,Petrol,Manual,2,0,1197,83,5.0,364000
Tata Tiago,Tata,Pune,2021,36953,Petrol,Manual,1,0,1199,86,5.0,520000
Tata Tiago,Tata,Pune,2021,24052,Petrol,Manual,1,0,1199,86,5.0,641000
Maruti Swift,Maruti,Pune,2017,42316,Petrol,Manual,2,0,1197,84,5.0,468000
Hyundai i20,Hyundai,Pune,2013,27927,Petrol,Manual,1,0,1197,84,5.0,393000
Hyundai Elite i20,Hyundai,Pune,2015,86015,Petrol,Manual,2,0,1197,83,5.0,512000
Hyundai Creta,Hyundai,Pune,2016,58645,Diesel,Manual,1,0,1582,128,5.0,942000
Hyundai GRAND I10 NIOS,Hyundai,Pune,2021,43813,Petrol,Manual,2,0,1197,83,5.0,690000
Hyundai Creta,Hyundai,Pune,2017,43084,Petrol,Automatic,2,0,1591,123,5.0,836000
Maruti Alto K10,Maruti,Pune,2016,30192,Petrol,Automatic,1,0,998,68,5.0,357000
Hyundai Elite i20,Hyundai,Pune,2015,46944,Petrol,Manual,1,0,1197,83,5.0,533000
Hyundai Grand i10,Hyundai,Pune,2018,23298,Petrol,Manual,1,0,1197,83,5.0,482000
Renault TRIBER,Renault,Pune,2022,690,Petrol,Manual,1,0,999,72,7.0,685000
Maruti IGNIS,Maruti,Pune,2017,50700,Petrol,Automatic,1,0,1197,83,5.0,478000
Maruti Swift Dzire,Maruti,Pune,2016,51023,Petrol,Manual,1,0,1197,84,5.0,546000
Maruti Celerio,Maruti,Pune,2018,92263,CNG,Manual,1,0,998,59,5.0,476000
Honda Jazz,Honda,Pune,2017,56195,Petrol,Automatic,2,0,1199,90,5.0,471000
Tata Tiago,Tata,Pune,2022,37607,CNG,Manual,1,0,1199,73,5.0,647000
Hyundai VENUE,Hyundai,Pune,2020,46218,Petrol,Manual,1,0,998,120,5.0,888000
Hyundai Eon,Hyundai,Pune,2015,34288,Petrol,Manual,1,0,814,56,5.0,274000
Honda City,Honda,Pune,2022,9263,Petrol,Manual,1,0,1498,121,5.0,1256000
Hyundai Elite i20,Hyundai,Pune,2015,33934,Petrol,Manual,2,0,1197,83,5.0,532000
Maruti Celerio,Maruti,Pune,2020,37683,CNG,Manual,1,0,998,60,5.0,552000
Tata ALTROZ,Tata,Pune,2022,15024,Petrol,Manual,2,0,1199,86,5.0,687000
Maruti Baleno,Maruti,Pune,2022,27338,Petrol,Automatic,1,0,1197,90,5.0,931000
Ford FREESTYLE,Ford,Pune,2020,23892,Petrol,Manual,1,0,1194,96,5.0,665000
Hyundai i20,Hyundai,Pune,2013,57441,Petrol,Manual,1,0,1197,84,5.0,340000
Maruti Wagon R 1.0,Maruti,Pune,2013,60787,Petrol,Manual,2,0,998,68,5.0,307000
Renault Kwid,Renault,Pune,2021,11122,Petrol,Automatic,1,0,999,68,5.0,493500
Maruti Wagon R 1.0,Maruti,Pune,2017,58845,CNG,Manual,2,0,998,59,5.0,423000
Maruti Celerio,Maruti,Pune,2021,45951,Petrol,Manual,2,0,998,68,5.0,511000
Maruti Alto K10,Maruti,Pune,2016,94017,Petrol,Automatic,2,0,998,68,5.0,309000
Nissan Terrano,Nissan,Pune,2013,77560,Diesel,Manual,2,0,1461,110,5.0,443000
Hyundai Grand i10,Hyundai,Pune,2017,64064,Petrol,Manual,2,0,1197,83,5.0,417000
Hyundai New Elantra,Hyundai,Pune,2018,55227,Petrol,Manual,1,0,1999,152,5.0,895000
Maruti Celerio,Maruti,Pune,2019,25494,CNG,Manual,1,0,998,59,5.0,531000
Maruti Swift Dzire,Maruti,Pune,2015,70911,Diesel,Manual,1,0,1248,75,5.0,602000
Maruti IGNIS,Maruti,Pune,2018,57747,Petrol,Manual,1,0,1197,83,5.0,393000
Ford Ecosport,Ford,Pune,2016,42640,Petrol,Automatic,2,0,1499,112,5.0,614000
Hyundai Xcent,Hyundai,Pune,2014,65166,Petrol,Manual,1,0,1197,83,5.0,431500
Hyundai Grand i10,Hyundai,Pune,2017,72593,Petrol,Automatic,1,0,1197,83,5.0,538000
Renault TRIBER,Renault,Pune,2022,15754,Petrol,Automatic,1,0,999,72,7.0,780000
Honda Brio,Honda,Pune,2014,82553,Petrol,Automatic,2,0,1198,88,5.0,300000
Hyundai Xcent,Hyundai,Pune,2018,78419,CNG,Manual,1,0,1197,83,5.0,524000
Maruti Baleno,Maruti,Pune,2021,19045,Petrol,Automatic,1,0,1197,83,5.0,775000
Renault Duster,Renault,Pune,2014,91651,Diesel,Manual,2,0,1461,85,5.0,358000
Hyundai Elite i20,Hyundai,Pune,2019,42767,Petrol,Manual,2,0,1197,83,5.0,586600
Volkswagen Polo,Volkswagen,Pune,2017,44143,Petrol,Manual,1,0,1198,75,5.0,479500
Mahindra XUV500,Mahindra,Pune,2013,98876,Diesel,Manual,1,0,2179,140,7.0,576600
Mahindra XUV300,Mahindra,Pune,2021,19237,Petrol,Automatic,1,0,1197,110,5.0,1135000
Renault Duster,Renault,Pune,2014,76391,Diesel,Manual,2,0,1461,110,5.0,391000
Volkswagen Polo,Volkswagen,Pune,2014,65573,Petrol,Manual,1,0,1198,75,5.0,392000
Skoda KUSHAQ,Skoda,Pune,2022,19038,Petrol,Automatic,1,0,999,115,5.0,1327000
Renault Kwid,Renault,Pune,2020,49335,Petrol,Manual,1,0,799,54,5.0,329650
Mahindra XUV300,Mahindra,Pune,2022,11285,Petrol,Manual,1,0,1197,110,5.0,1132000
Maruti Swift,Maruti,Pune,2016,75058,Petrol,Manual,1,0,1197,84,5.0,508000
MG ASTOR,MG,Pune,2022,12638,Petrol,Manual,1,0,1498,110,5.0,1113000
Renault Kwid,Renault,Pune,2016,79137,Petrol,Manual,2,0,799,54,5.0,283000
Hyundai VENUE,Hyundai,Pune,2019,43931,Petrol,Manual,1,0,998,120,5.0,822000
Hyundai VENUE,Hyundai,Pune,2023,6386,Petrol,Manual,1,0,1197,83,5.0,904000
Nissan Micra Active,Nissan,Pune,2017,61611,CNG,Manual,1,0,1198,68,5.0,317500
Tata Tiago,Tata,Pune,2018,47153,Petrol,Automatic,1,0,1199,85,5.0,492000
Honda City,Honda,Pune,2014,76979,Petrol,Manual,1,0,1497,119,5.0,510000
Maruti BREZZA,Maruti,Pune,2023,21217,Petrol,Manual,1,0,1462,103,5.0,994000
Jeep Compass,Jeep,Pune,2018,59763,Diesel,Manual,1,0,1956,173,5.0,1157000
Volkswagen Polo,Volkswagen,Pune,2018,41980,Petrol,Manual,1,0,999,76,5.0,649000
Honda City,Honda,Pune,2015,63718,Petrol,Automatic,1,0,1497,119,5.0,550000
Hyundai Verna,Hyundai,Pune,2022,13694,Petrol,Manual,2,0,1497,115,5.0,1292000
Datsun Redi Go,Datsun,Pune,2017,109680,Petrol,Manual,1,0,999,68,5.0,219000
Maruti Ciaz,Maruti,Pune,2016,80484,Petrol,Manual,1,0,1373,92,5.0,503000
Maruti Swift Dzire,Maruti,Pune,2011,39721,Petrol,Manual,2,0,1197,87,5.0,313000
Hyundai Creta,Hyundai,Pune,2018,97159,Diesel,Automatic,1,0,1582,128,5.0,1054000
Maruti Wagon R 1.0,Maruti,Pune,2017,70769,Petrol,Automatic,2,0,998,68,5.0,347200
Maruti Swift Dzire,Maruti,Pune,2015,96263,Petrol,Manual,1,0,1197,84,5.0,505000
Maruti Baleno,Maruti,Pune,2015,116108,Diesel,Manual,1,0,1248,75,5.0,531000
Maruti Alto K10,Maruti,Pune,2017,98581,CNG,Manual,2,0,998,59,4.0,327000
Hyundai Creta,Hyundai,Pune,2016,90150,Petrol,Automatic,1,0,1591,123,5.0,812000
Tata Tiago,Tata,Pune,2020,26016,Petrol,Manual,1,0,1199,86,5.0,480600
Hyundai Grand i10,Hyundai,Pune,2019,14334,Petrol,Manual,1,0,1197,83,5.0,514000
Hyundai i20,Hyundai,Pune,2011,103360,Petrol,Manual,1,0,1197,80,5.0,263000
Maruti Swift,Maruti,Pune,2017,116084,Petrol,Manual,1,0,1197,84,5.0,453000
Honda City,Honda,Pune,2017,20365,Petrol,Manual,1,0,1497,119,5.0,708000
Hyundai Grand i10,Hyundai,Pune,2017,65313,Petrol,Manual,2,0,1197,83,5.0,438000
Honda Amaze,Honda,Pune,2018,70458,Diesel,Automatic,1,0,1498,80,5.0,644000
Maruti Swift Dzire,Maruti,Pune,2012,64036,Petrol,Manual,1,0,1197,87,5.0,398000
Maruti Swift Dzire,Maruti,Pune,2015,65005,Petrol,Manual,2,0,1197,87,5.0,473000
Maruti Swift Dzire,Maruti,Pune,2013,96999,Diesel,Manual,1,0,1248,75,5.0,586000
Renault Kwid,Renault,Pune,2021,32748,Petrol,Automatic,1,0,999,68,5.0,469000
Hyundai i10,Hyundai,Pune,2011,88441,Petrol,Manual,2,0,1197,80,5.0,200000
Maruti Vitara Brezza,Maruti,Pune,2017,89916,Diesel,Manual,1,0,1248,90,5.0,724000
Volkswagen Polo,Volkswagen,Pune,2016,61672,Petrol,Manual,1,0,1198,75,5.0,519000
Honda City,Honda,Pune,2015,71442,Petrol,Manual,1,0,1497,119,5.0,563000
Ford Ecosport,Ford,Pune,2019,61175,Petrol,Manual,1,0,999,125,5.0,808000
Maruti Baleno,Maruti,Pune,2020,43453,Petrol,Automatic,1,0,1197,83,5.0,658000
Maruti Baleno,Maruti,Pune,2016,67174,Petrol,Automatic,1,0,1197,84,5.0,533000
Ford Ecosport,Ford,Pune,2018,60748,Diesel,Manual,1,0,1498,101,5.0,842000
Hyundai Elite i20,Hyundai,Pune,2017,62794,Diesel,Manual,1,0,1396,90,5.0,654000
Maruti Dzire,Maruti,Pune,2018,100984,Diesel,Automatic,1,0,1248,75,5.0,652000
Tata NEXON,Tata,Pune,2021,50524,Diesel,Automatic,1,0,1497,110,5.0,1014000
Tata NEXON,Tata,Pune,2022,26713,Diesel,Automatic,2,0,1497,110,5.0,1179000
Hyundai i20,Hyundai,Pune,2011,54289,Petrol,Manual,1,0,1197,80,5.0,305000
Hyundai Creta,Hyundai,Pune,2021,46775,Petrol,Automatic,1,0,1353,140,5.0,1668000
Maruti Dzire,Maruti,Pune,2018,43236,Petrol,Manual,1,0,1197,83,5.0,588000
Honda City,Honda,Pune,2016,82482,CNG,Manual,2,0,1497,119,5.0,606700
Maruti Celerio,Maruti,Pune,2018,57098,CNG,Manual,1,0,998,59,5.0,488000
Hyundai i10,Hyundai,Pune,2012,39634,Petrol,Automatic,1,0,1197,80,5.0,326000
Jeep Compass,Jeep,Pune,2019,24321,Petrol,Manual,1,0,1368,163,5.0,1115000
Honda City,Honda,Pune,2017,66127,Petrol,Automatic,2,0,1497,119,5.0,746000
Hyundai Verna,Hyundai,Pune,2017,29279,Petrol,Manual,1,0,1591,123,5.0,692000
Hyundai Verna,Hyundai,Pune,2017,37185,Petrol,Manual,1,0,1591,123,5.0,756000
Hyundai Grand i10,Hyundai,Pune,2019,68707,Petrol,Manual,2,0,1197,83,5.0,472000
